"","x"
"1",0.193548387096774
"2",0.032258064516129
"3",0.645161290322581
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0.0645161290322581
"10",0.903225806451613
"11",0
"12",0
"13",0.0645161290322581
"14",0
"15",0
"16",0
"17",0.548387096774194
"18",0
"19",0
"20",0
"21",0
"22",0.419354838709677
"23",0
"24",0.774193548387097
"25",0
"26",0
"27",0
"28",0.032258064516129
"29",0.645161290322581
"30",0.806451612903226
"31",0
"32",0.419354838709677
"33",0
"34",0
"35",0.741935483870968
"36",0.483870967741935
"37",0
"38",0.032258064516129
"39",0
"40",0.419354838709677
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0.709677419354839
"54",0
"55",0.0645161290322581
"56",0
"57",0
"58",0
"59",0.548387096774194
"60",0
"61",0
"62",0.387096774193548
"63",0
"64",0
"65",0
"66",0.774193548387097
"67",0
"68",0
"69",0
"70",0
"71",0.935483870967742
"72",0
"73",0.741935483870968
"74",0
"75",0.161290322580645
"76",0.0645161290322581
"77",0
"78",0.774193548387097
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0.032258064516129
"86",0.516129032258065
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0.387096774193548
"93",0.0645161290322581
"94",0
"95",0
"96",0.483870967741935
"97",0.935483870967742
"98",0
"99",0
"100",0
