"","x"
"1",0.387096774193548
"2",0
"3",0.870967741935484
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0.903225806451613
"10",0.806451612903226
"11",0.645161290322581
"12",0.225806451612903
"13",0
"14",0
"15",0
"16",0
"17",0.580645161290323
"18",0
"19",0
"20",0
"21",0
"22",0.870967741935484
"23",0
"24",0.32258064516129
"25",0
"26",0
"27",0
"28",0
"29",0.32258064516129
"30",0.483870967741935
"31",0.161290322580645
"32",0.161290322580645
"33",0
"34",0
"35",0.419354838709677
"36",0
"37",0.193548387096774
"38",0
"39",0
"40",0.451612903225806
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0.032258064516129
"51",0
"52",0
"53",0.516129032258065
"54",0
"55",0
"56",0.32258064516129
"57",0
"58",0
"59",0
"60",0
"61",0.161290322580645
"62",0.258064516129032
"63",0
"64",0
"65",0
"66",0.032258064516129
"67",0
"68",0
"69",0
"70",0
"71",0.741935483870968
"72",0
"73",0.387096774193548
"74",0.161290322580645
"75",0.0645161290322581
"76",0.516129032258065
"77",0
"78",0
"79",0.161290322580645
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0.67741935483871
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0.258064516129032
"93",0
"94",0
"95",0.032258064516129
"96",0
"97",0.741935483870968
"98",0
"99",0
"100",0
