"","x"
"1",1
"2",0
"3",0.935483870967742
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0.967741935483871
"10",1
"11",0.935483870967742
"12",1
"13",0
"14",0
"15",0
"16",0
"17",0.967741935483871
"18",0
"19",0
"20",0
"21",0
"22",0.903225806451613
"23",0.935483870967742
"24",0.967741935483871
"25",0
"26",0
"27",0
"28",0
"29",1
"30",0.967741935483871
"31",0
"32",1
"33",0
"34",0
"35",1
"36",0
"37",0.935483870967742
"38",0
"39",0.0967741935483871
"40",0.806451612903226
"41",0
"42",0.032258064516129
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0.967741935483871
"54",0
"55",0
"56",1
"57",0
"58",0
"59",0
"60",0
"61",0.419354838709677
"62",0.258064516129032
"63",0
"64",0
"65",0
"66",1
"67",0
"68",0.032258064516129
"69",0
"70",0
"71",0.870967741935484
"72",0
"73",1
"74",0
"75",1
"76",0.935483870967742
"77",0
"78",1
"79",0
"80",0.0967741935483871
"81",0
"82",0
"83",0
"84",0
"85",0
"86",1
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0.774193548387097
"93",0
"94",0
"95",0
"96",0.967741935483871
"97",0.774193548387097
"98",0
"99",0
"100",0
