"","x"
"1",1
"2",0
"3",0.870967741935484
"4",0
"5",0
"6",0
"7",0
"8",0
"9",1
"10",0.967741935483871
"11",1
"12",1
"13",0
"14",0
"15",0
"16",0
"17",0.967741935483871
"18",0
"19",0
"20",0
"21",0
"22",1
"23",0.935483870967742
"24",0.806451612903226
"25",0
"26",0
"27",0
"28",0
"29",0.967741935483871
"30",1
"31",0
"32",1
"33",0
"34",0
"35",0.870967741935484
"36",0
"37",1
"38",0
"39",0
"40",1
"41",0
"42",0.032258064516129
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0.193548387096774
"50",0
"51",0
"52",0
"53",0.935483870967742
"54",0
"55",0
"56",0.967741935483871
"57",0
"58",0
"59",0
"60",0
"61",0.967741935483871
"62",1
"63",0
"64",0
"65",0
"66",0.741935483870968
"67",0
"68",0
"69",0
"70",0
"71",0.903225806451613
"72",0
"73",0.903225806451613
"74",0
"75",0.967741935483871
"76",0.903225806451613
"77",0
"78",0.935483870967742
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",1
"87",0
"88",0
"89",0
"90",0
"91",0
"92",1
"93",0
"94",0
"95",0.0645161290322581
"96",1
"97",0.451612903225806
"98",0
"99",0
"100",0
