"","x"
"1",1
"2",0
"3",0.903225806451613
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0.903225806451613
"10",0.935483870967742
"11",1
"12",1
"13",0
"14",0
"15",0
"16",0.0645161290322581
"17",1
"18",0.193548387096774
"19",0
"20",0
"21",0
"22",0.838709677419355
"23",0.806451612903226
"24",0.741935483870968
"25",0
"26",0
"27",0
"28",0
"29",1
"30",1
"31",0
"32",1
"33",0
"34",0
"35",0.967741935483871
"36",0
"37",0.935483870967742
"38",0
"39",0
"40",0.903225806451613
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0.0645161290322581
"52",0.129032258064516
"53",1
"54",0
"55",0.032258064516129
"56",0.741935483870968
"57",0.193548387096774
"58",0
"59",0
"60",0
"61",0.967741935483871
"62",0.935483870967742
"63",0.032258064516129
"64",0
"65",0
"66",1
"67",0
"68",0
"69",0
"70",0
"71",0.903225806451613
"72",0
"73",1
"74",0
"75",0.032258064516129
"76",1
"77",0
"78",0.451612903225806
"79",0.193548387096774
"80",0
"81",0
"82",0.032258064516129
"83",0
"84",0
"85",0
"86",0.967741935483871
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0.935483870967742
"93",0
"94",0
"95",0
"96",0.967741935483871
"97",0.903225806451613
"98",0.032258064516129
"99",0
"100",0
